date_string,cb_to_usd,et_to_usd
"2016 May 18, Wednesday",455.56,13.18
"2016 May 19, Thursday",438.38,14.9
"2016 May 20, Friday",445.65,14.17
"2016 May 21, Saturday",446.28,
"2016 May 22, Sunday",442.48,
"2016 May 23, Monday",445.67,13.61
"2016 May 24, Tuesday",446.99,12.77
"2016 May 25, Wednesday",451.49,12.61
"2016 May 26, Thursday",454.97,12.47
"2016 May 27, Friday",471.27,10.98
"2016 May 28, Saturday",523.25,12.02
"2016 May 29, Sunday",525.22,12.34
"2016 May 30, Monday",532.55,12.88
"2016 May 31, Tuesday",531.34,14.16
"2016 Jun 01, Wednesday",534.84,13.93
"2016 Jun 02, Thursday",537.87,14.03
"2016 Jun 03, Friday",571.25,13.98
"2016 Jun 04, Saturday",576.31,13.95
"2016 Jun 05, Sunday",575.17,14.04
"2016 Jun 06, Monday",586.77,14.22
"2016 Jun 07, Tuesday",579.71,14.52
"2016 Jun 08, Wednesday",583.21,14.64
"2016 Jun 09, Thursday",577.46,14.71
"2016 Jun 10, Friday",580.31,13.91
"2016 Jun 11, Saturday",609.5,14.1
"2016 Jun 12, Sunday",677.86,15.58
"2016 Jun 13, Monday",706.01,17.89
"2016 Jun 14, Tuesday",684.95,18.79
"2016 Jun 15, Wednesday",698.78,18.42
"2016 Jun 16, Thursday",769.76,20.99
"2016 Jun 17, Friday",752.26,15.65
"2016 Jun 18, Saturday",758.99,11.64
"2016 Jun 19, Sunday",768.76,12.35
"2016 Jun 20, Monday",703.12,11.81
"2016 Jun 21, Tuesday",667.66,13.89
"2016 Jun 22, Wednesday",604.5,13.18
"2016 Jun 23, Thursday",631.1,13.81
"2016 Jun 24, Friday",669.98,14.55
"2016 Jun 25, Saturday",673.71,14.37
"2016 Jun 26, Sunday",638.56,14.02
"2016 Jun 27, Monday",657.87,14.1
"2016 Jun 28, Tuesday",648.43,12.23
"2016 Jun 29, Wednesday",639.42,12.74
"2016 Jun 30, Thursday",673.49,12.49
"2016 Jul 01, Friday",678.19,12.34
"2016 Jul 02, Saturday",704.95,12.09
"2016 Jul 03, Sunday",663.55,12.02
"2016 Jul 04, Monday",681.98,11.48
"2016 Jul 05, Tuesday",669.87,10.6
"2016 Jul 06, Wednesday",678.79,10.61
"2016 Jul 07, Thursday",641.97,10.08
"2016 Jul 08, Friday",667.33,11.43
"2016 Jul 09, Saturday",657.61,11.01
"2016 Jul 10, Sunday",652.44,11.02
"2016 Jul 11, Monday",650.97,10.72
"2016 Jul 12, Tuesday",666.56,10.57
"2016 Jul 13, Wednesday",655.34,10.49
"2016 Jul 14, Thursday",661.65,11.62
"2016 Jul 15, Friday",667.48,11.99
"2016 Jul 16, Saturday",666.32,11.8
"2016 Jul 17, Sunday",680,11.33
"2016 Jul 18, Monday",675.5,11.05
"2016 Jul 19, Tuesday",673.98,11.75
"2016 Jul 20, Wednesday",666.92,12.5
"2016 Jul 21, Thursday",667.28,12.76
"2016 Jul 22, Friday",654.67,14.83
"2016 Jul 23, Saturday",657.5,14.52
"2016 Jul 24, Sunday",661,12.78
"2016 Jul 25, Monday",657.79,13.91
"2016 Jul 26, Tuesday",654.06,12
"2016 Jul 27, Wednesday",657.35,13.1
"2016 Jul 28, Thursday",657.4,12.93
"2016 Jul 29, Friday",657,12.84
"2016 Jul 30, Saturday",655.87,12.49
"2016 Jul 31, Sunday",626.97,11.99
"2016 Aug 01, Monday",605.2,10.95
"2016 Aug 02, Tuesday",537.47,8.78
"2016 Aug 03, Wednesday",573.36,10.68
"2016 Aug 04, Thursday",587.5,11.32
"2016 Aug 05, Friday",583,11.18
"2016 Aug 06, Saturday",591.71,11.01
"2016 Aug 07, Sunday",595.14,10.99
"2016 Aug 08, Monday",591.48,11.34
"2016 Aug 09, Tuesday",586.45,12.28
"2016 Aug 10, Wednesday",594.94,12.21
"2016 Aug 11, Thursday",587.91,11.73
"2016 Aug 12, Friday",587.74,11.81
"2016 Aug 13, Saturday",586.45,11.61
"2016 Aug 14, Sunday",574.99,11.28
"2016 Aug 15, Monday",567.79,11.3
